,No_Of_Rooms,locality,lease_type,gym,lift,swimming_pool,negotiable,furnishing,parking,property_size,property_age,bathroom,facing,cup_board,floor,total_floor,water_supply,building_type,balconies,rent,true_count
97,BHK2,New Tippasandra,FAMILY,0,0,0,0,NOT_FURNISHED,TWO_WHEELER,600,15.0,2.0,S,0.0,0.0,2.0,CORP_BORE,IF,0.0,15000.0,1
98,BHK2,Kumaraswamy Layout,ANYONE,0,0,0,1,NOT_FURNISHED,TWO_WHEELER,1000,15.0,2.0,E,0.0,2.0,3.0,CORPORATION,IF,1.0,15000.0,3
99,BHK3,"Chandana,",FAMILY,1,1,1,0,SEMI_FURNISHED,BOTH,1800,11.0,3.0,E,3.0,0.0,4.0,CORP_BORE,AP,3.0,27500.0,8
100,BHK1,Adugodi,BACHELOR,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,500,4.0,1.0,E,1.0,2.0,3.0,CORPORATION,IF,1.0,9000.0,0
101,BHK2,BTM 2nd Stage,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,780,10.0,2.0,W,2.0,1.0,1.0,CORPORATION,IH,0.0,15000.0,2
102,BHK2,Banashankari,FAMILY,0,0,0,0,SEMI_FURNISHED,BOTH,900,15.0,2.0,W,2.0,0.0,1.0,CORP_BORE,IF,0.0,16000.0,4
103,BHK3,"Rainbow Drive,Halanayakanahalli",ANYONE,1,1,1,0,SEMI_FURNISHED,BOTH,1600,6.0,3.0,S,3.0,0.0,4.0,CORP_BORE,AP,1.0,45000.0,19
104,BHK3,C V Raman Nagar,ANYONE,1,1,1,1,SEMI_FURNISHED,BOTH,1600,10.0,2.0,W,3.0,2.0,5.0,CORP_BORE,AP,2.0,30000.0,12
105,BHK2,"Koramangala 4th Block, Bengaluru, Karnataka, India",ANYONE,0,0,0,1,SEMI_FURNISHED,NONE,900,15.0,1.0,N,0.0,0.0,3.0,CORP_BORE,IF,0.0,25000.0,3
106,BHK2,"Eastwood Township,Harlur",FAMILY,1,1,1,1,SEMI_FURNISHED,BOTH,1300,0.0,2.0,N,2.0,14.0,18.0,CORP_BORE,AP,1.0,32000.0,10
107,BHK2,Tippasandra,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,1150,23.0,2.0,N,2.0,1.0,3.0,CORPORATION,IF,0.0,25000.0,1
108,BHK1,Chikkalasandra,FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,600,4.0,1.0,NW,1.0,1.0,4.0,CORPORATION,IH,0.0,9000.0,2
109,BHK2,Marathahalli,FAMILY,1,1,1,0,SEMI_FURNISHED,BOTH,1400,2.0,2.0,E,2.0,4.0,4.0,BOREWELL,AP,0.0,21000.0,14
110,BHK3,Kasavanahalli,FAMILY,1,1,0,1,SEMI_FURNISHED,BOTH,1600,6.0,3.0,E,3.0,2.0,5.0,CORPORATION,AP,2.0,24000.0,15
111,BHK2,Mahadevapura,BACHELOR,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,900,5.0,2.0,N,2.0,0.0,2.0,CORPORATION,IF,0.0,12500.0,5
112,BHK2,Raja Rajeshwari Nagar,FAMILY,0,0,0,1,SEMI_FURNISHED,NONE,1200,4.0,2.0,E,2.0,1.0,3.0,CORPORATION,IF,0.0,11000.0,6
113,BHK3,"Dodda Nekkundi Extension,Doddanekkundi",FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,1251,3.0,2.0,NE,2.0,6.0,6.0,BOREWELL,AP,1.0,25000.0,9
114,BHK2,Whitefield,FAMILY,1,1,0,1,SEMI_FURNISHED,FOUR_WHEELER,1200,0.0,2.0,E,3.0,2.0,6.0,CORP_BORE,AP,2.0,20000.0,10
115,BHK2,Kodihalli,FAMILY,0,1,0,1,FULLY_FURNISHED,BOTH,1200,5.0,2.0,E,7.0,3.0,4.0,CORP_BORE,AP,1.0,30000.0,6
116,BHK4,Banashankari 3rd Stage,FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,2400,22.0,4.0,W,3.0,0.0,2.0,CORP_BORE,IF,0.0,32000.0,4
117,BHK2,Bellandur,ANYONE,1,1,0,1,SEMI_FURNISHED,BOTH,1000,5.0,2.0,NE,2.0,1.0,4.0,BOREWELL,AP,1.0,21000.0,9
118,BHK2,Vivek Nagar,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,750,8.0,1.0,N,2.0,1.0,2.0,CORP_BORE,IF,1.0,11000.0,3
119,BHK3,Domlur,ANYONE,0,1,0,1,SEMI_FURNISHED,FOUR_WHEELER,1700,8.0,3.0,S,4.0,1.0,2.0,CORP_BORE,AP,3.0,42000.0,11
120,BHK2,Kasavanahalli,FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,1100,3.0,2.0,E,2.0,1.0,3.0,BOREWELL,IF,1.0,16500.0,7
121,BHK4,Pulikeshi Nagar,FAMILY,0,0,0,1,SEMI_FURNISHED,NONE,2000,15.0,2.0,E,3.0,1.0,2.0,CORP_BORE,IF,2.0,26000.0,1
122,BHK2,Banashankari,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,600,6.0,1.0,E,2.0,0.0,2.0,CORP_BORE,IF,0.0,9000.0,3
123,BHK2,Banashankari Stage II,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,1500,5.0,1.0,N,2.0,3.0,3.0,BOREWELL,IF,0.0,12500.0,2
124,BHK2,Banashankari,FAMILY,0,0,0,0,NOT_FURNISHED,TWO_WHEELER,950,10.0,1.0,E,2.0,2.0,2.0,CORP_BORE,IF,1.0,12000.0,2
125,BHK3,Doddanekundi,ANYONE,0,1,0,1,SEMI_FURNISHED,FOUR_WHEELER,1300,8.0,2.0,N,3.0,4.0,4.0,CORP_BORE,AP,3.0,22000.0,5
127,BHK2,Binnipete,FAMILY,0,0,0,1,NOT_FURNISHED,NONE,700,1.0,1.0,E,0.0,2.0,4.0,CORPORATION,IF,1.0,12000.0,1
128,BHK2,Vimanapura,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,1200,0.0,2.0,N,2.0,0.0,3.0,CORP_BORE,IF,0.0,15000.0,3
129,BHK3,"12th Cross Road, Kasavanahalli, Bengaluru, Karnataka 560035, India,Bengaluru",FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,1515,1.0,3.0,E,6.0,1.0,5.0,BOREWELL,AP,2.0,27000.0,9
130,BHK3,Vijayanagar,FAMILY,0,1,0,0,SEMI_FURNISHED,BOTH,1450,2.0,2.0,N,3.0,1.0,5.0,CORP_BORE,AP,2.0,30000.0,2
131,BHK2,Vijaya Nagar,ANYONE,0,0,0,1,SEMI_FURNISHED,NONE,750,15.0,1.0,N,1.0,1.0,2.0,CORPORATION,IF,1.0,9000.0,1
132,BHK2,RR Nagar,BACHELOR,0,1,0,1,FULLY_FURNISHED,BOTH,1400,0.0,1.0,N,1.0,2.0,4.0,CORP_BORE,AP,1.0,9500.0,11
133,BHK2,Whitefield,FAMILY,1,1,1,1,SEMI_FURNISHED,BOTH,1225,3.0,2.0,W,2.0,2.0,4.0,BOREWELL,AP,2.0,24000.0,15
134,RK1,Brookefield,BACHELOR,1,1,1,0,SEMI_FURNISHED,TWO_WHEELER,180,2.0,1.0,N,1.0,0.0,3.0,BOREWELL,AP,0.0,8000.0,7
135,BHK2,Kasavanahalli,FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,800,10.0,2.0,E,2.0,2.0,2.0,BOREWELL,IF,2.0,16500.0,1
136,BHK2,Whitefield,FAMILY,1,0,0,1,SEMI_FURNISHED,TWO_WHEELER,1000,5.0,2.0,E,2.0,0.0,2.0,CORPORATION,IF,0.0,14000.0,1
137,BHK2,Munnekollal,ANYONE,0,0,0,1,SEMI_FURNISHED,BOTH,1100,1.0,2.0,E,6.0,2.0,3.0,CORPORATION,IH,1.0,19000.0,1
138,BHK2,Whitefield,FAMILY,1,1,0,1,SEMI_FURNISHED,FOUR_WHEELER,1200,1.0,2.0,N,4.0,1.0,5.0,CORP_BORE,AP,2.0,23000.0,7
139,BHK3,Bellandur,ANYONE,1,1,1,1,SEMI_FURNISHED,BOTH,1700,4.0,2.0,N,3.0,1.0,11.0,CORP_BORE,AP,3.0,35000.0,13
140,BHK1,Marathahalli,ANYONE,1,1,0,1,FULLY_FURNISHED,BOTH,800,5.0,1.0,E,2.0,1.0,5.0,CORP_BORE,AP,2.0,16500.0,7
141,BHK2,Marathahalli,ANYONE,0,0,0,1,SEMI_FURNISHED,FOUR_WHEELER,750,0.0,2.0,E,2.0,1.0,4.0,BOREWELL,IF,1.0,15000.0,3
142,BHK1,"JP Nagar, Phase 3",ANYONE,0,0,0,0,SEMI_FURNISHED,NONE,600,4.0,1.0,N,0.0,2.0,2.0,CORPORATION,IF,0.0,12500.0,1
143,BHK2,Uttarahalli Hobli,FAMILY,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,750,3.0,2.0,SW,2.0,1.0,3.0,CORPORATION,IH,0.0,10000.0,1
144,BHK3,Basavanagudi,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,1000,5.0,2.0,N,2.0,0.0,2.0,CORP_BORE,IF,0.0,15000.0,2
145,RK1,HSR Layout,BACHELOR,0,0,0,1,SEMI_FURNISHED,BOTH,300,0.0,1.0,E,1.0,3.0,3.0,BOREWELL,IF,0.0,8000.0,4
