type,latitude,longitude,lease_type,gym,lift,swimming_pool,furnishing,parking,property_size,bathroom,facing,cup_board,floor,total_floor,water_supply,balconies,true_count,predicted_rent
3.0,12.98469043,77.74897675,FAMILY,0,0,0,1.0,BOTH,1450,3,NE,3,1,2,CORP_BORE,1,6,25850.0
1.0,12.96773506,77.66346768,ANYONE,0,0,0,1.0,NONE,500,1,E,1,3,3,CORPORATION,1,1,10605.0
2.0,12.94006302,77.57910077,FAMILY,0,0,0,1.0,NONE,700,2,E,2,3,4,CORPORATION,1,1,15285.833333333334
3.0,12.92522043,77.57770932,FAMILY,0,1,0,1.0,BOTH,2210,4,E,3,3,3,CORP_BORE,1,5,32850.0
1.0,12.94226775,77.61724176,FAMILY,0,0,0,1.0,BOTH,650,1,N,1,2,3,CORPORATION,1,0,11785.416666666666
1.0,12.91145677,77.57479098,ANYONE,0,0,0,1.0,NONE,700,1,W,2,1,2,CORP_BORE,1,4,11772.866666666667
2.0,12.91647908,77.65341934,FAMILY,0,0,0,1.0,BOTH,1200,2,S,3,0,3,CORP_BORE,0,1,23287.5
1.0,12.96768981,77.67014638,ANYONE,0,0,0,1.0,TWO_WHEELER,500,1,E,1,2,3,CORPORATION,1,4,9874.166666666666
2.0,12.96497438,77.53194987,ANYONE,0,0,0,1.0,BOTH,1024,2,N,2,3,3,CORP_BORE,3,2,16720.833333333332
3.0,12.958964,77.65714007,FAMILY,0,0,0,0.0,BOTH,1100,3,N,0,1,3,CORP_BORE,1,3,20663.333333333332
2.0,12.93319449,77.58245626,ANYONE,0,0,0,1.0,BOTH,1200,2,W,2,0,1,CORP_BORE,1,1,24145.833333333332
1.0,12.91441122,77.70183564,ANYONE,0,0,0,1.0,BOTH,800,1,E,1,3,3,CORP_BORE,0,1,12091.666666666666
3.0,12.92840099,77.66986084,ANYONE,1,1,1,1.0,FOUR_WHEELER,1725,3,E,3,2,9,CORP_BORE,3,18,36308.333333333336
2.0,12.91407526,77.59343992,FAMILY,0,0,0,1.0,TWO_WHEELER,1000,1,E,2,0,1,CORPORATION,0,3,16906.25
2.0,12.95678902,77.70702362,FAMILY,0,0,0,2.0,BOTH,1400,3,E,5,7,11,CORP_BORE,2,10,35604.13333333333
2.0,12.93079451,77.61014513,ANYONE,1,1,0,1.0,FOUR_WHEELER,1150,2,E,2,2,5,BOREWELL,1,5,26066.666666666668
3.0,12.90983903,77.54279249,ANYONE,0,0,0,1.0,BOTH,1500,2,E,3,1,3,CORP_BORE,1,4,18037.5
2.0,12.96247074,77.64136415,FAMILY,0,0,0,1.0,TWO_WHEELER,600,2,N,2,0,2,CORPORATION,0,3,16697.5
2.0,12.95511779,77.58134029,FAMILY,0,0,0,1.0,TWO_WHEELER,650,2,N,2,1,2,CORPORATION,1,0,15022.5
3.0,12.92329756,77.55339576,ANYONE,0,0,0,1.0,BOTH,1000,2,E,3,1,4,CORPORATION,1,3,15858.333333333334
1.0,12.94720492,77.70357014,ANYONE,0,0,0,1.0,TWO_WHEELER,500,1,E,1,2,4,BOREWELL,1,1,9570.833333333334
3.0,12.90281464,77.58671249,FAMILY,0,1,0,1.0,BOTH,1375,2,E,3,3,4,CORP_BORE,2,3,22787.491666666665
2.0,12.9905542,77.7580827,FAMILY,1,1,1,1.0,BOTH,1200,2,NE,2,6,8,CORP_BORE,2,8,21662.5
2.0,12.97242357,77.64865189,FAMILY,1,1,0,1.0,BOTH,1100,2,W,2,2,5,CORP_BORE,2,9,30595.833333333332
2.0,12.91116193,77.5851042,FAMILY,0,0,0,1.0,TWO_WHEELER,1100,2,N,4,2,3,CORP_BORE,1,1,17915.833333333332
2.0,12.98904758,77.52505254,FAMILY,0,0,0,0.0,TWO_WHEELER,800,2,N,0,2,2,CORP_BORE,0,1,11345.833333333334
2.0,12.9729277,77.7144704,ANYONE,1,1,1,1.0,BOTH,1350,2,E,2,1,8,CORPORATION,2,17,28783.333333333332
1.0,12.90521184,77.64170886,ANYONE,0,0,0,1.0,TWO_WHEELER,450,1,N,1,0,4,CORP_BORE,1,4,12251.666666666666
2.0,12.93618136,77.56155707,FAMILY,0,0,0,0.0,TWO_WHEELER,600,1,N,0,1,2,CORPORATION,1,3,9579.166666666666
2.0,12.95074009,77.71447657,ANYONE,0,0,0,1.0,BOTH,1100,2,N,0,2,4,CORPORATION,2,5,18785.416666666668
2.0,12.96745235,77.68226486,FAMILY,0,0,0,1.0,TWO_WHEELER,950,2,E,0,0,3,CORPORATION,0,2,14645.833333333334
2.0,12.95805194,77.60426424,FAMILY,0,1,0,2.0,FOUR_WHEELER,1200,2,N,2,1,3,CORP_BORE,3,5,28450.0
2.0,12.910491,77.5857168,ANYONE,0,0,0,1.0,BOTH,1250,2,N,2,3,4,CORP_BORE,1,6,21375.0
2.0,12.97058628,77.66513548,FAMILY,0,0,0,1.0,TWO_WHEELER,850,1,E,2,2,2,CORPORATION,1,1,13955.833333333334
3.0,12.92809721,77.59940052,ANYONE,0,0,0,1.0,BOTH,1270,3,E,1,1,3,CORPORATION,1,3,30033.333333333332
3.0,12.93041723,77.54922859,FAMILY,0,0,0,1.0,TWO_WHEELER,1900,3,E,2,2,3,BOREWELL,1,0,26758.333333333332
2.0,12.91943594,77.54209567,FAMILY,0,0,0,1.0,TWO_WHEELER,950,1,S,2,0,0,CORP_BORE,0,0,12725.833333333334
2.0,12.99527919,77.56272603,ANYONE,0,0,0,1.0,NONE,1200,3,N,2,2,2,CORPORATION,2,0,18620.833333333332
2.0,12.92684071,77.54033861,ANYONE,0,1,0,1.0,BOTH,1250,2,W,3,4,5,BOREWELL,2,3,19306.666666666668
2.0,12.96787692,77.75462468,FAMILY,0,0,0,1.0,TWO_WHEELER,1100,1,E,2,0,3,CORPORATION,0,2,14255.0
1.0,12.94231828,77.61947637,BACHELOR,0,0,0,0.0,TWO_WHEELER,610,1,N,0,3,3,CORP_BORE,0,1,11323.333333333334
2.0,12.99226524,77.67719985,FAMILY,0,0,0,1.0,TWO_WHEELER,1000,2,E,2,1,2,CORP_BORE,2,1,16443.325
3.0,12.97619457,77.75814886,ANYONE,1,1,1,1.0,BOTH,1500,3,E,3,2,5,CORP_BORE,2,7,22254.166666666668
2.0,12.92928456,77.548772,COMPANY,0,0,0,1.0,TWO_WHEELER,1000,2,NE,0,0,2,CORP_BORE,0,4,13498.333333333334
2.0,12.90319535,77.62061699,ANYONE,0,0,0,1.0,TWO_WHEELER,1150,1,NE,4,0,3,CORPORATION,1,2,17033.333333333332
2.0,12.90584341,77.59545715,FAMILY,0,1,0,1.0,BOTH,1100,2,S,2,1,3,CORP_BORE,1,2,18668.333333333332
2.0,12.9113178,77.51139174,FAMILY,0,0,0,2.0,BOTH,1000,2,E,2,2,3,CORPORATION,0,1,12530.416666666666
2.0,12.9346083,77.63089266,FAMILY,0,0,0,1.0,TWO_WHEELER,900,1,N,2,0,2,CORP_BORE,0,1,18412.5
2.0,12.95863179,77.7001515,ANYONE,0,0,0,1.0,TWO_WHEELER,800,1,W,2,1,3,CORP_BORE,0,1,14279.166666666666
3.0,12.9285022,77.662028,FAMILY,0,0,0,1.0,BOTH,2666,4,NW,0,10,13,CORPORATION,1,18,40820.833333333336
2.0,12.9019339,77.6326668,ANYONE,0,0,0,1.0,BOTH,1000,2,E,2,4,4,CORPORATION,2,3,16412.5
1.0,12.93273199,77.56878868,FAMILY,0,0,0,1.0,TWO_WHEELER,400,1,E,1,1,3,CORP_BORE,0,1,9075.0
2.0,12.95257225,77.56711031,ANYONE,0,0,0,1.0,TWO_WHEELER,700,1,E,1,1,1,CORPORATION,1,1,12176.666666666666
1.0,12.96969237,77.65059042,FAMILY,0,0,0,1.0,TWO_WHEELER,600,1,N,1,1,2,CORP_BORE,0,1,11951.666666666666
2.0,12.97999954,77.73999786,FAMILY,1,1,1,1.0,BOTH,1276,2,N,2,1,3,CORPORATION,2,13,22404.166666666668
2.0,12.94198012,77.60218213,ANYONE,0,0,0,1.0,TWO_WHEELER,800,1,N,1,2,2,CORP_BORE,0,1,14545.833333333334
3.0,12.9923765,77.7026845,ANYONE,1,1,1,1.0,BOTH,1630,3,E,6,1,19,CORPORATION,3,19,35508.333333333336
2.0,12.92756539,77.59625857,ANYONE,0,0,0,1.0,TWO_WHEELER,600,1,N,3,0,3,CORP_BORE,0,2,13922.5
1.0,12.96135979,77.57578046,ANYONE,0,0,0,0.0,NONE,450,1,E,0,1,1,BOREWELL,1,5,10520.833333333334
2.0,12.90396686,77.58049671,ANYONE,0,0,0,0.0,NONE,700,2,N,0,2,3,CORP_BORE,0,1,11375.0
2.0,12.96402028,77.52496309,ANYONE,0,0,0,1.0,BOTH,950,2,S,2,0,2,CORPORATION,1,4,14362.5
3.0,12.99322847,77.6675657,FAMILY,1,1,1,1.0,BOTH,1458,3,E,3,2,4,CORP_BORE,2,14,28108.333333333332
3.0,12.91127661,77.62305095,ANYONE,0,1,0,1.0,BOTH,1450,3,E,3,3,5,CORP_BORE,1,6,24452.5
2.0,12.969642,77.7411625,FAMILY,1,1,1,1.0,BOTH,1248,2,NW,2,1,5,CORPORATION,0,10,21821.666666666668
2.0,12.90772596,77.6212956,ANYONE,0,0,0,1.0,TWO_WHEELER,1100,3,E,2,1,2,CORPORATION,2,2,18741.666666666668
3.0,12.90780296,77.64912755,FAMILY,0,0,0,2.0,BOTH,2400,3,E,3,0,0,CORP_BORE,0,1,35612.5
3.0,12.9970222,77.7179071,ANYONE,1,1,1,1.0,BOTH,1585,3,N,3,4,4,CORP_BORE,2,15,25687.5
1.0,12.9715213,77.66538642,ANYONE,0,0,0,1.0,TWO_WHEELER,600,1,NE,1,3,3,CORP_BORE,1,3,11512.5
2.0,12.9549251,77.7072909,ANYONE,0,0,0,1.0,TWO_WHEELER,1200,2,E,2,0,2,CORPORATION,0,2,17041.666666666668
1.0,12.99659719,77.67218245,ANYONE,0,0,0,1.0,TWO_WHEELER,500,1,E,1,2,3,CORPORATION,1,2,9914.166666666666
1.0,12.9068504,77.6080472,ANYONE,0,0,0,1.0,TWO_WHEELER,600,1,E,2,1,2,CORPORATION,0,4,11291.666666666666
3.0,12.91132625,77.68433087,ANYONE,1,1,1,2.0,FOUR_WHEELER,1564,2,E,5,14,20,BOREWELL,2,16,38612.5
2.0,12.98879856,77.67410754,FAMILY,0,0,0,1.0,TWO_WHEELER,600,1,E,1,1,1,CORPORATION,1,1,10613.333333333334
2.0,12.91105041,77.5863665,FAMILY,0,0,0,1.0,TWO_WHEELER,650,1,E,1,2,2,CORPORATION,1,4,12583.333333333334
2.0,12.9383132,77.6096914,ANYONE,0,1,0,1.0,FOUR_WHEELER,1300,2,N,2,0,10,CORPORATION,0,9,34537.5
3.0,12.9809108,77.6287662,FAMILY,1,1,0,1.0,BOTH,1740,3,E,3,1,4,CORP_BORE,2,16,37945.833333333336
2.0,12.90574677,77.58558298,ANYONE,0,0,0,1.0,TWO_WHEELER,1100,2,N,2,0,2,CORP_BORE,0,3,15262.5
2.0,12.97249928,77.65182742,FAMILY,0,0,0,1.0,BOTH,1200,2,E,3,1,2,CORP_BORE,0,4,25141.666666666668
2.0,12.99594889,77.71916292,FAMILY,0,0,0,1.0,BOTH,1000,1,E,4,3,3,CORP_BORE,1,1,16036.666666666666
2.0,12.9224372,77.612038,FAMILY,0,1,0,1.0,BOTH,1205,2,N,1,0,4,CORP_BORE,2,3,23441.666666666668
2.0,12.97066723,77.67482708,ANYONE,0,0,0,1.0,TWO_WHEELER,850,2,E,2,1,2,CORPORATION,1,5,14800.0
3.0,12.97319664,77.71476272,ANYONE,0,1,0,1.0,BOTH,1750,3,E,3,1,5,CORPORATION,3,6,26504.166666666668
4.0,12.9682741,77.6502639,FAMILY,0,0,0,1.0,BOTH,2200,4,S,6,2,2,CORP_BORE,2,2,41475.0
3.0,12.93770078,77.58033074,ANYONE,1,1,0,1.0,TWO_WHEELER,1750,3,N,3,1,4,CORP_BORE,3,4,34866.666666666664
4.0,12.98230355,77.53222884,ANYONE,0,0,0,1.0,BOTH,1800,4,N,3,0,0,CORP_BORE,1,0,29762.5
2.0,12.9025355,77.54381393,FAMILY,0,1,0,1.0,BOTH,1200,2,E,2,4,5,CORP_BORE,2,2,12954.166666666666
2.0,12.9998457,77.7244923,FAMILY,0,1,0,1.0,BOTH,1200,2,E,4,1,6,CORP_BORE,2,8,17166.666666666668
2.0,12.97994846,77.67741108,FAMILY,0,1,0,1.0,FOUR_WHEELER,1010,2,N,1,4,4,BOREWELL,1,4,17610.416666666668
3.0,12.9712301,77.7148376,FAMILY,1,1,1,1.0,BOTH,1500,3,S,3,2,3,CORP_BORE,2,9,28079.166666666668
2.0,12.91005454,77.59247946,FAMILY,0,0,0,1.0,TWO_WHEELER,1200,1,W,2,1,1,CORPORATION,0,2,17962.5
2.0,12.97172814,77.5057732,FAMILY,0,0,0,1.0,TWO_WHEELER,750,2,W,2,1,4,CORP_BORE,0,4,12254.166666666666
2.0,12.9836103,77.7088027,FAMILY,1,1,1,1.0,BOTH,1185,2,E,15,2,4,CORP_BORE,1,10,23395.833333333332
1.0,12.92974519,77.59861527,ANYONE,0,0,0,1.0,BOTH,700,1,E,2,1,3,CORP_BORE,1,6,13431.25
2.0,12.95066522,77.71591757,FAMILY,0,1,0,1.0,TWO_WHEELER,1150,2,W,2,1,4,BOREWELL,1,6,20985.416666666668
1.0,12.91619111,77.61510006,ANYONE,0,0,0,1.0,TWO_WHEELER,500,1,E,1,2,3,CORP_BORE,1,3,10987.5
3.0,12.9021902,77.518582,ANYONE,0,1,0,0.0,BOTH,1350,3,E,0,1,5,CORP_BORE,3,7,16970.833333333332
1.0,12.9797323,77.6937706,FAMILY,1,0,1,0.0,BOTH,450,1,W,0,1,1,CORP_BORE,1,11,10912.5
2.0,12.9660252,77.71232037,FAMILY,0,0,0,1.0,BOTH,1300,2,N,2,1,5,CORP_BORE,2,3,21083.333333333332
1.0,12.91616973,77.61051582,ANYONE,1,0,0,1.0,TWO_WHEELER,750,1,N,1,0,4,CORPORATION,0,4,14405.833333333334
1.0,12.9436556,77.71073884,ANYONE,0,0,0,1.0,TWO_WHEELER,800,1,E,1,1,4,CORP_BORE,1,3,11056.666666666666
2.0,12.92381065,77.54896584,FAMILY,0,0,0,1.0,NONE,1000,2,E,2,0,1,CORPORATION,1,1,14154.166666666666
1.0,12.92810744,77.61082456,FAMILY,0,0,0,1.0,TWO_WHEELER,500,1,E,1,1,1,CORPORATION,0,1,11420.833333333334
3.0,12.9040772,77.7029137,FAMILY,1,1,1,1.0,BOTH,1800,3,E,2,5,7,BOREWELL,2,15,30808.0
1.0,12.94713066,77.70355639,FAMILY,0,0,0,1.0,TWO_WHEELER,500,1,E,1,2,4,CORP_BORE,1,4,10382.5
2.0,12.98351679,77.76199359,ANYONE,1,1,1,2.0,FOUR_WHEELER,1385,2,E,2,4,5,BOREWELL,2,15,25925.0
2.0,12.98806222,77.72832602,ANYONE,1,1,1,2.0,BOTH,1482,2,E,2,14,18,CORP_BORE,1,18,36712.5
2.0,12.96875925,77.68267325,FAMILY,1,1,1,2.0,BOTH,1000,2,S,2,3,3,BOREWELL,2,7,23354.166666666668
2.0,12.9827609,77.6771808,ANYONE,0,0,0,1.0,TWO_WHEELER,850,1,N,2,3,3,CORP_BORE,0,4,13925.0
2.0,12.9142869,77.67727222,ANYONE,0,0,0,2.0,BOTH,1081,2,NE,6,3,4,CORP_BORE,2,11,25333.333333333332
1.0,12.99640111,77.67729338,FAMILY,0,0,0,1.0,TWO_WHEELER,1000,1,W,0,3,3,CORP_BORE,2,1,11974.166666666666
1.0,12.9242199,77.5191195,FAMILY,0,1,0,1.0,TWO_WHEELER,500,1,W,2,1,3,BOREWELL,2,4,9992.5
4.0,12.99274096,77.57539244,ANYONE,0,0,0,1.0,BOTH,1500,2,W,4,0,2,CORPORATION,0,1,28508.333333333332
2.0,12.9420948,77.5463577,FAMILY,1,0,0,1.0,FOUR_WHEELER,900,1,E,2,1,1,CORP_BORE,1,3,14133.333333333334
2.0,12.99963445,77.54097969,FAMILY,0,0,0,1.0,TWO_WHEELER,1500,2,N,2,1,3,CORPORATION,0,3,18675.0
3.0,12.98426932,77.54979732,FAMILY,0,0,0,1.0,BOTH,1600,2,N,3,0,1,CORPORATION,0,1,25929.166666666668
3.0,12.96056617,77.51233029,FAMILY,0,0,0,1.0,BOTH,1750,3,N,4,1,2,CORP_BORE,1,4,22833.333333333332
2.0,12.97087919,77.66501587,ANYONE,0,0,0,1.0,BOTH,1200,2,E,2,1,1,CORPORATION,1,1,16944.166666666668
1.0,12.91951706,77.51623484,FAMILY,0,1,0,1.0,BOTH,500,1,E,1,1,3,CORP_BORE,2,9,10137.5
3.0,12.93151943,77.63643323,FAMILY,1,1,1,1.0,BOTH,1515,3,W,6,1,3,BOREWELL,2,17,35820.833333333336
2.0,12.90334043,77.69612248,ANYONE,0,1,0,1.0,BOTH,1180,2,E,0,1,4,CORP_BORE,2,9,20487.5
2.0,12.98264054,77.75543798,FAMILY,1,1,1,1.0,BOTH,1147,2,W,2,7,8,CORP_BORE,2,13,21475.0
3.0,12.9562593,77.6534629,ANYONE,0,1,0,1.0,BOTH,1800,2,E,3,4,4,CORP_BORE,2,6,32958.333333333336
2.0,12.9482688,77.7049685,FAMILY,0,1,0,1.0,BOTH,600,2,N,2,1,4,CORP_BORE,1,10,17025.0
3.0,12.92095357,77.54645393,FAMILY,0,0,0,1.0,BOTH,1200,2,E,3,0,2,CORP_BORE,1,3,16291.625
2.0,12.9606249,77.64591259,ANYONE,0,1,0,1.0,BOTH,985,2,W,3,3,5,CORP_BORE,2,9,25162.5
2.0,12.91087106,77.50912628,FAMILY,0,1,0,1.0,BOTH,900,2,E,2,1,4,CORP_BORE,0,3,12075.0
1.0,12.93712311,77.54542714,ANYONE,0,0,0,1.0,TWO_WHEELER,500,1,N,2,2,2,CORPORATION,1,1,8659.166666666666
1.0,12.91117063,77.63283187,ANYONE,0,0,0,1.0,TWO_WHEELER,600,1,S,2,3,3,CORP_BORE,1,4,13875.0
1.0,12.9679302,77.68452907,ANYONE,0,1,0,1.0,BOTH,575,1,N,1,4,4,BOREWELL,1,10,13600.0
2.0,12.9606189,77.70994931,ANYONE,0,1,0,1.0,BOTH,1180,2,SE,2,0,4,CORP_BORE,1,3,22072.916666666668
1.0,12.98150797,77.64614857,BACHELOR,1,0,0,1.0,TWO_WHEELER,800,1,N,1,3,3,CORPORATION,1,1,14812.5
2.0,12.98356528,77.53466068,ANYONE,0,0,0,0.0,NONE,600,1,N,0,1,3,CORPORATION,0,2,10241.666666666666
0.0,12.93380109,77.57450955,ANYONE,0,0,0,1.0,NONE,400,1,E,1,3,3,CORPORATION,0,0,10163.333333333334
0.0,12.90514231,77.60565914,ANYONE,0,0,0,1.0,TWO_WHEELER,200,1,E,2,3,3,CORP_BORE,1,0,9629.166666666666
2.0,12.97591772,77.53367009,FAMILY,0,0,0,1.0,BOTH,1200,2,E,2,0,1,CORPORATION,1,1,17133.333333333332
2.0,12.90166577,77.70566253,BACHELOR,0,0,0,1.0,TWO_WHEELER,900,2,SW,1,3,3,CORP_BORE,1,3,14616.65
2.0,12.97194016,77.52919186,ANYONE,0,0,0,0.0,TWO_WHEELER,1000,2,N,0,1,1,CORP_BORE,1,6,14933.333333333334
1.0,12.95814208,77.66088558,ANYONE,0,1,0,1.0,TWO_WHEELER,700,1,E,3,0,4,CORPORATION,0,5,16891.666666666668
2.0,12.90523591,77.61121581,FAMILY,0,0,0,1.0,TWO_WHEELER,550,2,E,2,1,1,CORP_BORE,1,1,12083.333333333334
2.0,12.93867328,77.55560994,ANYONE,0,0,0,1.0,BOTH,650,1,E,2,1,2,CORPORATION,0,0,13958.333333333334
2.0,12.97291323,77.70074059,FAMILY,0,1,0,1.0,FOUR_WHEELER,1100,2,N,2,4,5,CORP_BORE,0,6,20737.5
2.0,12.95808201,77.50958867,ANYONE,0,0,0,1.0,TWO_WHEELER,1400,2,E,2,1,2,CORP_BORE,1,1,14004.166666666666
1.0,12.92876643,77.55731339,FAMILY,0,0,0,1.0,TWO_WHEELER,600,1,N,1,1,2,CORPORATION,0,5,9075.0
2.0,12.94604712,77.54615026,FAMILY,0,0,0,1.0,TWO_WHEELER,800,2,E,2,1,3,CORPORATION,1,3,13729.166666666666
3.0,12.9314973,77.512098,ANYONE,1,1,1,1.0,BOTH,1610,3,N,3,3,5,CORP_BORE,2,15,20012.5
1.0,12.90729747,77.60817058,FAMILY,0,0,0,1.0,TWO_WHEELER,700,1,N,2,1,3,CORP_BORE,1,2,12141.666666666666
3.0,12.90312151,77.60436487,FAMILY,1,1,1,1.0,BOTH,1750,3,SE,3,3,12,CORP_BORE,3,18,34162.5
2.0,12.9629354,77.7122996,ANYONE,0,0,0,1.0,TWO_WHEELER,1200,2,E,2,1,2,CORPORATION,1,1,18304.166666666668
2.0,12.9661682,77.7247772,ANYONE,0,1,0,1.0,BOTH,1047,2,N,3,0,16,CORP_BORE,2,11,24516.666666666668
1.0,12.9122199,77.68101176,ANYONE,0,0,0,1.0,TWO_WHEELER,400,1,N,1,0,1,CORPORATION,0,5,10817.916666666666
2.0,12.97349129,77.54307368,ANYONE,0,0,0,1.0,TWO_WHEELER,900,1,E,2,2,2,CORPORATION,1,1,12688.75
2.0,12.91864932,77.64733372,COMPANY,0,0,0,1.0,BOTH,1200,3,S,2,0,2,CORPORATION,0,0,25116.666666666668
2.0,12.9081357,77.647608,ANYONE,0,1,0,2.0,BOTH,1225,2,E,2,4,4,CORP_BORE,2,4,23745.833333333332
2.0,12.97558839,77.53146799,FAMILY,0,0,0,0.0,FOUR_WHEELER,1200,2,N,0,0,2,CORP_BORE,0,3,15704.166666666666
2.0,12.976346,77.5354295,ANYONE,0,0,0,1.0,NONE,350,1,N,2,1,1,CORPORATION,1,4,12470.833333333334
3.0,12.9667725,77.738189,ANYONE,1,1,0,1.0,BOTH,1460,2,E,3,4,4,BOREWELL,3,11,22362.5
1.0,12.92938851,77.60498247,ANYONE,0,0,0,0.0,TWO_WHEELER,400,1,S,0,0,1,BOREWELL,0,1,10091.666666666666
2.0,12.94170749,77.56692994,FAMILY,0,0,0,1.0,FOUR_WHEELER,1000,2,E,2,2,2,CORP_BORE,2,1,18722.916666666668
3.0,12.9357553,77.57317601,FAMILY,0,1,0,2.0,BOTH,2500,2,E,5,0,1,CORPORATION,0,3,31266.666666666668
2.0,12.99896098,77.72423037,ANYONE,0,1,0,1.0,BOTH,1000,2,W,4,3,3,BOREWELL,1,3,17699.158333333333
3.0,12.99157106,77.71751284,ANYONE,1,1,1,2.0,BOTH,1555,3,E,3,1,4,CORP_BORE,2,8,28683.333333333332
2.0,12.9807869,77.6565744,FAMILY,0,0,0,1.0,BOTH,1200,2,W,2,0,0,CORPORATION,0,2,21570.833333333332
2.0,12.90379103,77.58564496,FAMILY,1,1,1,1.0,BOTH,1250,2,NW,2,12,13,CORP_BORE,2,14,29883.333333333332
2.0,12.95520655,77.70532803,ANYONE,0,0,0,1.0,TWO_WHEELER,1000,2,E,2,2,4,CORP_BORE,1,3,16969.166666666668
